2022-10-20 22:52:35,509 |     INFO | 192.168.1.144:52026 | READ
2022-10-20 22:53:11,593 |     INFO | 192.168.1.144:52040 | READ
2022-10-20 22:54:37,896 |     INFO | 192.168.1.144:52064 | READ
2022-10-20 22:55:27,880 |     INFO | 192.168.1.144:53531 | READ
2022-10-20 22:55:43,568 |     INFO | 192.168.1.144:53533 | READ
2022-10-20 22:56:26,674 |     INFO | 192.168.1.144:53546 | READ
2022-10-20 22:56:40,026 |     INFO | 192.168.1.144:53552 | READ
2022-10-20 22:56:47,293 |     INFO | 192.168.1.144:53557 | READ
2022-10-20 22:56:59,635 |     INFO | 192.168.1.144:53559 | READ
2022-10-20 22:59:13,441 |     INFO | 192.168.1.144:53605 | READ
2022-10-20 22:59:57,243 |     INFO | 192.168.1.144:58225 | READ
2022-10-20 23:09:11,739 |     INFO | 192.168.1.144:60326 | READ
2022-10-20 23:10:48,171 |     INFO | 192.168.1.144:59929 | READ
2022-10-20 23:10:53,445 |     INFO | 192.168.1.144:59929 | READ
2022-10-20 23:11:05,947 |     INFO | 192.168.1.144:59940 | READ
2022-10-20 23:11:17,657 |     INFO | 192.168.1.144:59959 | READ
2022-10-21 13:31:42,247 |     INFO | 192.168.1.144:54926 | READ
2022-10-21 13:31:58,750 |     INFO | 192.168.1.144:62896 | READ
2022-10-21 13:40:03,073 |     INFO | 192.168.1.144:57594 | READ
2022-10-21 13:40:20,822 |     INFO | 192.168.1.144:64066 | READ
2022-10-21 13:41:49,921 |     INFO | 192.168.1.144:56386 | READ
2022-10-21 13:45:27,958 |     INFO | 192.168.1.144:55322 | READ
2022-10-21 13:47:38,535 |     INFO | 192.168.1.144:55364 | READ
2022-10-21 13:47:46,410 |     INFO | 192.168.1.144:55369 | READ
2022-10-21 13:52:10,897 |     INFO | 192.168.1.144:64028 | READ
2022-10-21 13:58:42,668 |     INFO | 192.168.1.144:55095 | READ
2022-10-21 14:02:56,286 |     INFO | 192.168.1.144:62156 | READ
2022-10-21 14:11:36,193 |     INFO | 192.168.1.144:64761 | READ
2022-10-21 14:15:02,843 |     INFO | 192.168.1.144:50184 | READ
2022-10-21 14:15:43,649 |     INFO | 192.168.1.144:50217 | READ
2022-10-21 14:17:49,981 |     INFO | 192.168.1.144:50297 | WEBSOCKET
